time,period
1.15357687e-05,3.948243e-09
1.153973449e-05,3.965798e-09
1.154363266e-05,3.898171e-09
1.154747251e-05,3.839848e-09
1.155136973e-05,3.897215e-09
1.155526934e-05,3.899614e-09
1.155916516e-05,3.895819e-09
1.156309537e-05,3.930205e-09
1.156703017e-05,3.934803e-09
1.157091766e-05,3.887493e-09
1.157486507e-05,3.947411e-09
1.157876268e-05,3.89761e-09
1.158263478e-05,3.8721e-09
1.158649701e-05,3.862232e-09
1.159042056e-05,3.92355e-09
1.159435169e-05,3.931127e-09
1.159828259e-05,3.930896e-09
1.160218392e-05,3.90133e-09
1.160609914e-05,3.915224e-09
1.16100245e-05,3.925363e-09
1.161390952e-05,3.885016e-09
1.161780873e-05,3.899215e-09
1.162170732e-05,3.89859e-09
1.162561963e-05,3.912303e-09
1.162951197e-05,3.892343e-09
1.163343591e-05,3.923942e-09
1.163737193e-05,3.936013e-09
1.164121778e-05,3.845852e-09
1.164510216e-05,3.884385e-09
1.164898797e-05,3.885808e-09
1.165286867e-05,3.880703e-09
1.165680521e-05,3.936536e-09
1.166074884e-05,3.943625e-09
1.166467123e-05,3.9224e-09
1.166854154e-05,3.870305e-09
1.167242362e-05,3.882075e-09
1.167630034e-05,3.876728e-09
1.168017812e-05,3.87778e-09
1.168410962e-05,3.931493e-09
1.168802722e-05,3.917608e-09
1.169197e-05,3.942774e-09
1.169585068e-05,3.880683e-09
1.169978558e-05,3.934902e-09
1.170367311e-05,3.887527e-09
1.170754667e-05,3.873555e-09
1.171145142e-05,3.904756e-09
1.171534825e-05,3.896826e-09
1.171926869e-05,3.92044e-09
1.172320455e-05,3.935857e-09
1.172712879e-05,3.924241e-09
1.173099374e-05,3.864949e-09
1.173492588e-05,3.932146e-09
1.173878115e-05,3.855267e-09
1.174268001e-05,3.898864e-09
1.174661395e-05,3.933934e-09
1.175050659e-05,3.892647e-09
1.175445177e-05,3.945176e-09
1.175833769e-05,3.885915e-09
1.176223659e-05,3.898907e-09
1.176612995e-05,3.893361e-09
1.176996998e-05,3.840031e-09
1.177387125e-05,3.901269e-09
1.17777641e-05,3.892845e-09
1.178166132e-05,3.897222e-09
1.178563061e-05,3.969285e-09
1.178953969e-05,3.909087e-09
1.179344456e-05,3.904868e-09
1.179729467e-05,3.850109e-09
1.180121116e-05,3.91649e-09
1.18050929e-05,3.881742e-09
1.180898829e-05,3.895388e-09
1.181288097e-05,3.892675e-09
1.18168367e-05,3.955735e-09
1.182072876e-05,3.892056e-09
1.182466742e-05,3.938666e-09
1.182852046e-05,3.853042e-09
1.183243111e-05,3.910647e-09
1.183633366e-05,3.902545e-09
1.184019777e-05,3.864112e-09
1.184411598e-05,3.918212e-09
1.184808531e-05,3.969332e-09
1.18520009e-05,3.915591e-09
1.185590551e-05,3.904604e-09
1.18597734e-05,3.867889e-09
1.18636999e-05,3.926503e-09
1.186758518e-05,3.885283e-09
1.187148589e-05,3.900712e-09
1.18754093e-05,3.92341e-09
1.187929731e-05,3.888007e-09
1.188324072e-05,3.943412e-09
1.188713575e-05,3.895024e-09
1.189100757e-05,3.871827e-09
1.189485546e-05,3.847889e-09
1.189874275e-05,3.887289e-09
1.19026334e-05,3.890648e-09
1.190656065e-05,3.927252e-09
1.191049603e-05,3.93538e-09
1.191437308e-05,3.877053e-09
1.19183119e-05,3.938819e-09
1.192217307e-05,3.861165e-09
1.192604158e-05,3.868514e-09
1.192995373e-05,3.91215e-09
1.193381532e-05,3.861583e-09
1.193776102e-05,3.945706e-09
1.194166277e-05,3.90175e-09
1.194561407e-05,3.951299e-09
1.194952595e-05,3.911876e-09
1.195340809e-05,3.882147e-09
1.195726571e-05,3.857615e-09
1.196114964e-05,3.88393e-09
1.196506087e-05,3.911234e-09
1.196897547e-05,3.9146e-09
1.197289979e-05,3.924315e-09
1.197681496e-05,3.915167e-09
1.198075335e-05,3.938397e-09
1.198465038e-05,3.897026e-09
1.198853224e-05,3.881861e-09
1.199242623e-05,3.893989e-09
1.199628927e-05,3.863038e-09
1.200020327e-05,3.913999e-09
1.200415321e-05,3.949942e-09
1.200803454e-05,3.881332e-09
1.201197543e-05,3.940893e-09
1.201583521e-05,3.85978e-09
1.201968962e-05,3.854409e-09
1.202357741e-05,3.887792e-09
1.202747859e-05,3.901175e-09
1.20313769e-05,3.898316e-09
1.203534579e-05,3.968882e-09
1.203923293e-05,3.887143e-09
1.204314622e-05,3.91329e-09
1.204702976e-05,3.883538e-09
1.205089364e-05,3.863885e-09
1.205480373e-05,3.910086e-09
1.205869422e-05,3.890492e-09
1.206257771e-05,3.883487e-09
1.206650577e-05,3.928064e-09
1.207046136e-05,3.955591e-09
1.207433084e-05,3.869473e-09
1.207824608e-05,3.915243e-09
1.208212304e-05,3.876964e-09
1.208597983e-05,3.856787e-09
1.20899157e-05,3.935867e-09
1.209381871e-05,3.903011e-09
1.20977436e-05,3.924897e-09
1.210163499e-05,3.891391e-09
1.210553088e-05,3.895881e-09
1.210944782e-05,3.916945e-09
1.211330562e-05,3.857803e-09
1.211723304e-05,3.927413e-09
1.21211022e-05,3.869165e-09
1.212501129e-05,3.909088e-09
1.212893187e-05,3.920577e-09
1.213283731e-05,3.905447e-09
1.213676456e-05,3.927248e-09
1.214061833e-05,3.853763e-09
1.214449618e-05,3.877854e-09
1.214838589e-05,3.889713e-09
1.215225239e-05,3.866499e-09
1.215618141e-05,3.929015e-09
1.216011595e-05,3.934549e-09
1.216403277e-05,3.916818e-09
1.216794324e-05,3.910465e-09
1.217184199e-05,3.898751e-09
1.217572698e-05,3.88499e-09
1.217960406e-05,3.877085e-09
1.218350642e-05,3.902356e-09
1.218739035e-05,3.883934e-09
1.219134635e-05,3.956e-09
1.219522287e-05,3.876515e-09
1.219915783e-05,3.93496e-09
1.220304903e-05,3.891199e-09
1.220694192e-05,3.892891e-09
1.221079618e-05,3.854266e-09
1.221469952e-05,3.903335e-09
1.221864606e-05,3.946539e-09
1.222256783e-05,3.921771e-09
1.222644404e-05,3.876212e-09
1.223034662e-05,3.902578e-09
1.22342447e-05,3.898082e-09
1.22381577e-05,3.912996e-09
1.224204272e-05,3.885029e-09
1.224594779e-05,3.905061e-09
1.22498569e-05,3.909118e-09
1.225376486e-05,3.90796e-09
1.225764618e-05,3.881315e-09
1.226158151e-05,3.935326e-09
1.226546406e-05,3.882552e-09
1.226932803e-05,3.86397e-09
1.227321386e-05,3.885836e-09
1.227708314e-05,3.869277e-09
1.228100121e-05,3.918067e-09
1.228492632e-05,3.925115e-09
1.228883865e-05,3.91233e-09
1.229277709e-05,3.938434e-09
1.229665886e-05,3.881769e-09
1.230052798e-05,3.869129e-09
1.230443019e-05,3.902204e-09
1.230834297e-05,3.912777e-09
1.231222614e-05,3.883172e-09
1.231614564e-05,3.919498e-09
1.232005843e-05,3.912795e-09
1.232395547e-05,3.897035e-09
1.232785042e-05,3.894952e-09
1.233173614e-05,3.885717e-09
1.233567405e-05,3.937912e-09
1.233955051e-05,3.876466e-09
1.234345159e-05,3.901082e-09
1.234740951e-05,3.957912e-09
1.235131518e-05,3.905668e-09
1.235520853e-05,3.893352e-09
1.235907847e-05,3.869945e-09
1.236299668e-05,3.918209e-09
1.236689204e-05,3.895361e-09
1.237078465e-05,3.892612e-09
1.237467618e-05,3.89153e-09
1.237859892e-05,3.922737e-09
1.238253651e-05,3.937587e-09
1.238642747e-05,3.890957e-09
1.239030745e-05,3.879985e-09
1.239418887e-05,3.881422e-09
1.239804667e-05,3.857802e-09
1.240199353e-05,3.946856e-09
1.240588596e-05,3.892428e-09
1.240984314e-05,3.957179e-09
1.241375085e-05,3.907708e-09
1.241764377e-05,3.892927e-09
1.242149664e-05,3.852869e-09
1.242540121e-05,3.904571e-09
1.242931914e-05,3.917929e-09
1.243322211e-05,3.902965e-09
1.24371026e-05,3.880496e-09
1.244102406e-05,3.921458e-09
1.244493828e-05,3.914216e-09
1.244883637e-05,3.898093e-09
1.245274542e-05,3.909052e-09
1.245663094e-05,3.885518e-09
1.246053772e-05,3.906782e-09
1.246443006e-05,3.892335e-09
1.246835359e-05,3.923535e-09
1.247227207e-05,3.91848e-09
1.247615082e-05,3.878754e-09
1.248005483e-05,3.904007e-09
1.248394288e-05,3.888048e-09
1.248787082e-05,3.927943e-09
1.249174112e-05,3.870295e-09
1.249566492e-05,3.923802e-09
1.249954415e-05,3.879236e-09
1.250345205e-05,3.90789e-09
1.250737599e-05,3.923948e-09
1.251129741e-05,3.921418e-09
1.251514407e-05,3.846659e-09
1.251905842e-05,3.914352e-09
1.252296783e-05,3.909404e-09
1.252685517e-05,3.887344e-09
1.253076019e-05,3.905021e-09
1.253468913e-05,3.92894e-09
1.253862256e-05,3.933427e-09
1.254251478e-05,3.892223e-09
1.254635943e-05,3.844654e-09
1.25502885e-05,3.929068e-09
1.255418099e-05,3.892486e-09
1.255808397e-05,3.902981e-09
1.256200254e-05,3.918572e-09
1.256588077e-05,3.878224e-09
1.256980244e-05,3.921673e-09
1.257372803e-05,3.925588e-09
1.257761273e-05,3.884707e-09
1.258147253e-05,3.859797e-09
1.258540785e-05,3.935322e-09
1.258928726e-05,3.879408e-09
1.259318186e-05,3.894604e-09
1.259712949e-05,3.947623e-09
1.260102974e-05,3.900248e-09
1.260490642e-05,3.876684e-09
1.260883602e-05,3.9296e-09
1.261269651e-05,3.860486e-09
1.261660012e-05,3.90362e-09
1.262053373e-05,3.933608e-09
1.262442494e-05,3.891205e-09
1.262835111e-05,3.926174e-09
1.263222707e-05,3.87596e-09
1.263615916e-05,3.932089e-09
1.264004408e-05,3.884918e-09
1.264390261e-05,3.858535e-09
1.264781695e-05,3.914337e-09
1.265170957e-05,3.892617e-09
1.265565478e-05,3.945213e-09
1.265957683e-05,3.92205e-09
1.26634546e-05,3.877769e-09
1.266738625e-05,3.931646e-09
1.267128316e-05,3.896908e-09
1.267517268e-05,3.889527e-09
1.26790388e-05,3.86612e-09
1.268298138e-05,3.942574e-09
1.268685951e-05,3.878136e-09
1.269080765e-05,3.948138e-09
1.269467784e-05,3.870194e-09
1.269862128e-05,3.943439e-09
1.270247677e-05,3.855491e-09
1.270640272e-05,3.92595e-09
1.271026497e-05,3.862242e-09
1.271419086e-05,3.925889e-09
1.271807815e-05,3.88729e-09
1.272202741e-05,3.949264e-09
1.272589417e-05,3.866762e-09
1.272982562e-05,3.931445e-09
1.273368417e-05,3.858554e-09
1.27376072e-05,3.92303e-09
1.274150597e-05,3.898775e-09
1.274540548e-05,3.899506e-09
1.274930582e-05,3.900344e-09
1.275323913e-05,3.933308e-09
1.275711855e-05,3.879415e-09
1.276104621e-05,3.927668e-09
1.276494261e-05,3.896396e-09
1.276882846e-05,3.885844e-09
1.277271084e-05,3.882386e-09
1.27766463e-05,3.935463e-09
1.278056818e-05,3.921875e-09
1.278448269e-05,3.914508e-09
1.278836643e-05,3.883746e-09
1.279229119e-05,3.924759e-09
1.279618669e-05,3.895493e-09
1.280008096e-05,3.894272e-09
