t_s,GR07_c,GR06_c
115.537,,23.405
115.61,23.383,
115.676,,23.398
115.763,23.419,
115.815,,23.367
115.916,23.434,
115.954,,23.472
116.069,23.475,
116.093,,23.383
116.222,23.383,
116.232,,23.286
116.371,,23.463
116.375,23.339,
116.51,,23.64
116.528,23.443,
116.649,,23.502
116.681,23.484,
116.788,,23.385
116.834,23.468,
116.927,,23.365
116.987,23.496,
117.14,23.529,
118.712,23.463,
118.845,,23.391
118.865,23.388,
118.984,,23.457
119.018,23.398,
119.123,,23.415
119.171,23.472,
119.262,,23.5
119.324,23.467,
119.401,,23.583
119.477,23.428,
119.54,,23.485
119.63,23.448,
119.679,,23.373
119.783,23.514,
119.818,,23.375
119.936,23.543,
119.957,,23.316
120.089,23.528,
120.096,,23.426
120.235,,23.486
120.242,23.439,
120.374,,23.507
120.395,23.524,
120.513,,23.489
120.548,23.424,
120.652,,23.438
120.701,23.447,
120.791,,23.447
120.854,23.476,
120.93,,23.218
121.007,23.127,
121.069,,23.051
121.16,22.751,
121.208,,22.925
121.313,22.532,
121.347,,22.768
121.466,22.029,
121.486,,22.59
121.619,21.732,
121.625,,22.471
121.764,,22.34
121.772,21.362,
121.903,,22.205
121.925,21.115,
122.042,,22.165
122.078,21.011,
122.181,,22.053
122.231,20.682,
122.32,,21.913
122.384,20.621,
122.459,,21.819
122.537,20.562,
123.954,20.091,
124.107,20.009,
124.222,,21.117
124.26,19.988,
124.361,,20.894
124.413,20.003,
124.5,,21.021
124.566,19.994,
124.639,,21.005
124.719,19.952,
124.778,,20.972
124.872,19.964,
124.917,,20.995
125.025,19.941,
125.056,,20.821
125.178,19.93,
125.195,,20.93
125.331,19.93,
125.334,,20.836
125.473,,20.708
125.484,19.924,
125.612,,20.695
125.637,19.917,
125.751,,20.685
125.79,19.916,
125.89,,20.698
125.943,19.922,
126.029,,20.616
126.096,19.906,
126.168,,20.59
126.249,19.919,
126.307,,20.644
126.402,19.905,
126.446,,20.619
126.555,19.901,
126.585,,20.459
126.708,19.905,
126.724,,20.507
126.861,19.901,
126.863,,20.69
127.002,,20.604
127.014,19.897,
127.141,,20.511
127.167,19.901,
127.28,,20.582
127.32,19.9,
127.419,,20.437
127.473,19.894,
127.558,,20.376
127.626,19.895,
127.697,,20.317
127.779,19.891,
127.932,19.888,
129.632,19.885,
129.743,,20.496
129.785,19.886,
129.882,,20.405
129.938,19.886,
130.021,,20.28
130.091,19.883,
130.16,,20.377
130.244,19.88,
130.299,,20.329
130.397,19.88,
130.438,,20.315
130.55,19.879,
130.577,,20.247
130.703,19.878,
130.716,,20.278
130.855,,20.207
130.856,19.884,
130.994,,20.106
131.009,19.878,
131.133,,20.164
131.162,19.885,
131.272,,20.199
131.315,19.878,
131.411,,20.186
131.468,19.876,
131.55,,20.127
131.621,19.873,
131.689,,20.056
131.774,19.873,
131.828,,20.076
131.927,19.875,
131.967,,20.092
132.08,19.877,
132.106,,20.145
132.233,19.877,
132.245,,20.297
132.384,,20.289
132.386,19.875,
132.523,,20.12
132.539,19.875,
132.662,,20.13
132.692,19.886,
132.801,,20.101
132.845,19.89,
132.94,,20.131
132.998,19.888,
133.079,,20.051
133.151,19.895,
133.218,,20.065
133.304,19.887,
133.457,19.882,
134.832,19.879,
134.939,,20.189
134.985,19.873,
135.078,,20.111
135.138,19.88,
135.217,,20.107
135.291,19.872,
