AIM-Spice Version 2017.100  (Built on Apr 12 2017)
Simulation started on Mon Oct  4 09:44:04 2021
Circuit: * Gate Voltage sweep
Analysis: Transient Analysis
Time,v(ck),v(d),v(q),v(qn)
8.56680335423532e-10,1.50000000000000e+00,1.50000000000000e+00,1.51447322166578e+00,3.14664562922610e-03
9.06680335423532e-10,1.50000000000000e+00,1.50000000000000e+00,1.48789849076732e+00,-3.04174566903155e-03
9.56680335423532e-10,1.50000000000000e+00,1.50000000000000e+00,1.50968451402281e+00,3.23849705310491e-03
1.00100000000000e-09,1.49999999999985e+00,1.50000000000000e+00,1.49219172275796e+00,-2.80857316667831e-03
1.00110000000000e-09,1.34999999999980e+00,1.50000000000000e+00,1.49177084114513e+00,-4.12528779632304e-03
1.00130000000000e-09,1.04999999999971e+00,1.50000000000000e+00,1.49056871613206e+00,-7.64412667633866e-03
1.00170000000000e-09,4.49999999999523e-01,1.50000000000000e+00,1.48822434270941e+00,-1.50842101155594e-02
1.00200000000000e-09,0.00000000000000e+00,1.50000000000000e+00,1.48704367630348e+00,-1.97446848794406e-02
1.00208000000000e-09,0.00000000000000e+00,1.50000000000000e+00,1.48764701989195e+00,-1.89397029310399e-02
1.00224000000000e-09,0.00000000000000e+00,1.50000000000000e+00,1.48884342214354e+00,-1.73220006003437e-02
1.00256000000000e-09,0.00000000000000e+00,1.50000000000000e+00,1.49120348320121e+00,-1.38575313923719e-02
1.00320000000000e-09,0.00000000000000e+00,1.50000000000000e+00,1.49551128243809e+00,-6.76603201481609e-03
1.00448000000000e-09,0.00000000000000e+00,1.50000000000000e+00,1.50161146349649e+00,4.95900215124336e-03
1.00704000000000e-09,0.00000000000000e+00,1.50000000000000e+00,1.50626444333280e+00,1.82018234309614e-02
1.01216000000000e-09,0.00000000000000e+00,1.50000000000000e+00,1.50416137784885e+00,2.37624312592668e-02
1.02240000000000e-09,0.00000000000000e+00,1.50000000000000e+00,1.49777854500946e+00,9.19574384707077e-03
1.04288000000000e-09,0.00000000000000e+00,1.50000000000000e+00,1.49110887224933e+00,-4.42638995946454e-02
1.06166960324706e-09,0.00000000000000e+00,1.50000000000000e+00,1.51119920994380e+00,8.09576845676252e-03
1.08352119473664e-09,0.00000000000000e+00,1.50000000000000e+00,1.49800822263474e+00,1.40310092577419e-02
1.11718314491842e-09,0.00000000000000e+00,1.50000000000000e+00,1.49768838951935e+00,-6.61562016831077e-03
1.15270043594421e-09,0.00000000000000e+00,1.50000000000000e+00,1.50307814701953e+00,5.78354238682245e-03
1.20270043594421e-09,0.00000000000000e+00,1.50000000000000e+00,1.49664573961469e+00,-5.00486921385153e-03
1.25270043594421e-09,0.00000000000000e+00,1.50000000000000e+00,1.50317737617522e+00,4.59577074380463e-03
1.30270043594421e-09,0.00000000000000e+00,1.50000000000000e+00,1.49681940759713e+00,-3.81891785329111e-03
1.35270043594421e-09,0.00000000000000e+00,1.50000000000000e+00,1.50279708522592e+00,3.51091315944463e-03
1.40270043594421e-09,0.00000000000000e+00,1.50000000000000e+00,1.49732840921364e+00,-2.90833002195920e-03
1.45270043594421e-09,0.00000000000000e+00,1.50000000000000e+00,1.50226593970283e+00,2.67089587663810e-03
1.46000000000000e-09,0.00000000000000e+00,1.50000000000000e+00,1.49899070776107e+00,-7.12304771773004e-04
1.46010000000000e-09,0.00000000000000e+00,1.34999999999997e+00,1.49815857512432e+00,-2.47485502064421e-03
1.46030000000000e-09,0.00000000000000e+00,1.04999999999991e+00,1.49652334681743e+00,-5.96823706281302e-03
1.46070000000000e-09,0.00000000000000e+00,4.49999999999783e-01,1.49428942865022e+00,-1.10724032424260e-02
1.46100000000000e-09,0.00000000000000e+00,0.00000000000000e+00,1.49328912694411e+00,-1.37136596843865e-02
1.46108000000000e-09,0.00000000000000e+00,0.00000000000000e+00,1.49390695729522e+00,-1.26225587523258e-02
1.46124000000000e-09,0.00000000000000e+00,0.00000000000000e+00,1.49506010051569e+00,-1.05938870015693e-02
1.46156000000000e-09,0.00000000000000e+00,0.00000000000000e+00,1.49698545706664e+00,-7.14348877505039e-03
1.46220000000000e-09,0.00000000000000e+00,0.00000000000000e+00,1.49964027858912e+00,-2.17683945790187e-03
1.46348000000000e-09,0.00000000000000e+00,0.00000000000000e+00,1.50234965219924e+00,3.41043923033452e-03
1.46604000000000e-09,0.00000000000000e+00,0.00000000000000e+00,1.50288995010033e+00,6.47317406121045e-03
1.47116000000000e-09,0.00000000000000e+00,0.00000000000000e+00,1.49994133056050e+00,3.23137102468007e-03
1.48140000000000e-09,0.00000000000000e+00,0.00000000000000e+00,1.49996214273820e+00,3.78656637035751e-03
1.49331228259807e-09,0.00000000000000e+00,0.00000000000000e+00,1.49960168969205e+00,2.23988992967622e-03
1.50000000000000e-09,3.10192729707385e-13,0.00000000000000e+00,1.49923619079924e+00,4.69674365060985e-04
1.50010000000000e-09,1.50000000000356e-01,0.00000000000000e+00,1.50093302675180e+00,3.99314009208290e-03
1.50030000000000e-09,4.50000000000448e-01,0.00000000000000e+00,1.50444929924679e+00,1.09354703492199e-02
1.50070000000000e-09,1.05000000000063e+00,0.00000000000000e+00,1.51037153095558e+00,2.29944147926623e-02
1.50100000000000e-09,1.50000000000000e+00,0.00000000000000e+00,1.51341859594659e+00,2.96630759183762e-02
1.50108000000000e-09,1.50000000000000e+00,0.00000000000000e+00,1.51304678732874e+00,2.91580240209970e-02
1.50124000000000e-09,1.50000000000000e+00,0.00000000000000e+00,1.51233989322174e+00,2.82604638464666e-02
1.50156000000000e-09,1.50000000000000e+00,0.00000000000000e+00,1.51096485174374e+00,2.66596574668462e-02
1.50220000000000e-09,1.50000000000000e+00,0.00000000000000e+00,1.50822584070010e+00,2.34529838150767e-02
1.50348000000000e-09,1.50000000000000e+00,0.00000000000000e+00,1.50058569248715e+00,1.12310887504569e-02
1.50604000000000e-09,1.50000000000000e+00,0.00000000000000e+00,1.48639529824373e+00,-2.14561539049835e-02
1.51116000000000e-09,1.50000000000000e+00,0.00000000000000e+00,1.47908309595396e+00,-6.53865323547770e-02
1.51648277023275e-09,1.50000000000000e+00,0.00000000000000e+00,1.48767889146824e+00,-7.97687636841853e-02
1.52712831069825e-09,1.50000000000000e+00,0.00000000000000e+00,1.52165039704021e+00,2.25086384041955e-02
1.54446467014272e-09,1.50000000000000e+00,0.00000000000000e+00,1.42415408112918e+00,4.98766938278435e-01
1.56996214104227e-09,1.50000000000000e+00,0.00000000000000e+00,2.75508542498667e-01,1.02994166289572e+00
1.59384163035497e-09,1.50000000000000e+00,0.00000000000000e+00,-6.25484947312874e-02,1.31788160644309e+00
1.61930273631634e-09,1.50000000000000e+00,0.00000000000000e+00,5.41204984973520e-02,1.47399354089616e+00
1.65476931001282e-09,1.50000000000000e+00,0.00000000000000e+00,-4.39996585865189e-02,1.48635237111090e+00
1.69118083586324e-09,1.50000000000000e+00,0.00000000000000e+00,3.77244592368399e-02,1.50779051234545e+00
1.74118083586324e-09,1.50000000000000e+00,0.00000000000000e+00,-3.31933338878525e-02,1.49078417706600e+00
1.79118083586324e-09,1.50000000000000e+00,0.00000000000000e+00,2.96811659022679e-02,1.50665475774193e+00
1.84118083586324e-09,1.50000000000000e+00,0.00000000000000e+00,-2.61649911930881e-02,1.49285087000218e+00
1.89118083586324e-09,1.50000000000000e+00,0.00000000000000e+00,2.33882263595693e-02,1.50536757672679e+00
1.94118083586324e-09,1.50000000000000e+00,0.00000000000000e+00,-2.06498545059535e-02,1.49434461514446e+00
1.99118083586324e-09,1.50000000000000e+00,0.00000000000000e+00,1.84413807335528e-02,1.50428626962050e+00
2.00100000000000e-09,1.49999999999938e+00,0.00000000000000e+00,-9.83035869148875e-03,1.49703660628630e+00
2.00110000000000e-09,1.34999999999933e+00,0.00000000000000e+00,-9.79176711877533e-03,1.49540376037217e+00
2.00130000000000e-09,1.04999999999924e+00,0.00000000000000e+00,-1.01072936972977e-02,1.49105635256024e+00
2.00170000000000e-09,4.49999999999058e-01,0.00000000000000e+00,-1.08513674860460e-02,1.48154677305369e+00
2.00200000000000e-09,0.00000000000000e+00,0.00000000000000e+00,-1.10661278438929e-02,1.47492732869681e+00
2.00208000000000e-09,0.00000000000000e+00,0.00000000000000e+00,-1.03094718829685e-02,1.47536017919712e+00
2.00224000000000e-09,0.00000000000000e+00,0.00000000000000e+00,-8.83360921247911e-03,1.47636603789766e+00
2.00256000000000e-09,0.00000000000000e+00,0.00000000000000e+00,-6.13049688557049e-03,1.47899605587303e+00
2.00320000000000e-09,0.00000000000000e+00,0.00000000000000e+00,-1.87794007352615e-03,1.48538556637323e+00
2.00448000000000e-09,0.00000000000000e+00,0.00000000000000e+00,2.71580955625722e-03,1.49918403540850e+00
2.00704000000000e-09,0.00000000000000e+00,0.00000000000000e+00,5.00716533009443e-03,1.52424020327724e+00
2.01216000000000e-09,0.00000000000000e+00,0.00000000000000e+00,2.98112881824344e-03,1.55998189267326e+00
2.02240000000000e-09,0.00000000000000e+00,0.00000000000000e+00,-8.58111368773548e-04,1.57940797337284e+00
2.04288000000000e-09,0.00000000000000e+00,0.00000000000000e+00,-5.57352989789300e-03,1.45624162496944e+00
2.06332541034803e-09,0.00000000000000e+00,0.00000000000000e+00,5.36066752274666e-03,1.46335810629474e+00
2.08667185955557e-09,0.00000000000000e+00,0.00000000000000e+00,-1.54423589448856e-03,1.51534867692444e+00
2.12070126787395e-09,0.00000000000000e+00,0.00000000000000e+00,4.86893698736557e-04,1.48979448836800e+00
2.15695151749418e-09,0.00000000000000e+00,0.00000000000000e+00,1.82251105893726e-04,1.50790803985027e+00
2.20695151749418e-09,0.00000000000000e+00,0.00000000000000e+00,-4.79937384213241e-04,1.49313997968919e+00
2.25695151749418e-09,0.00000000000000e+00,0.00000000000000e+00,7.46717189554207e-04,1.50561822050396e+00
2.30695151749418e-09,0.00000000000000e+00,0.00000000000000e+00,-8.86476898228392e-04,1.49506607348229e+00
2.35695151749418e-09,0.00000000000000e+00,0.00000000000000e+00,1.02751468171294e-03,1.50399774607759e+00
2.40695151749418e-09,0.00000000000000e+00,0.00000000000000e+00,-1.06692044229086e-03,1.49641648025552e+00
2.45695151749418e-09,0.00000000000000e+00,0.00000000000000e+00,1.13045414411988e-03,1.50286489804415e+00
2.50000000000000e-09,0.00000000000000e+00,0.00000000000000e+00,-1.10841949664170e-03,1.49743050752556e+00
