paper	lecture	line	section	text	url	existing_key
ieee:6006551	l08_pll.md	655	Want to learn more?	A 2.9–4.0-GHz Fractional-N Digital PLL With Bang-Bang Phase Detector and 560-fsrms Integrated Jitter at 4.5-mW Power	https://ieeexplore.ieee.org/document/6006551	
ieee:7954123	l09_osc.md	240	Impedance	The Crystal Oscillator	https://ieeexplore.ieee.org/document/7954123	
ieee:7954123	l09_osc.md	619	Crystal oscillators	The Crystal Oscillator - A Circuit for All Seasons	https://ieeexplore.ieee.org/document/7954123	
ieee:318	l09_osc.md	621	Crystal oscillators	High-performance crystal oscillator circuits: theory and application	https://ieeexplore.ieee.org/document/318	
ieee:9542926	l09_osc.md	623	Crystal oscillators	Ultra-low Power 32kHz Crystal Oscillators: Fundamentals and Design Techniques	https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9542926	
ieee:9173539	l09_osc.md	625	Crystal oscillators	A Sub-nW Single-Supply 32-kHz Sub-Harmonic Pulse Injection Crystal Oscillator	https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9173539	
ieee:8901474	l09_osc.md	632	CMOS oscillators	The Ring Oscillator - A Circuit for All Seasons	https://ieeexplore.ieee.org/document/8901474	
ieee:494195	l09_osc.md	634	CMOS oscillators	A Study of Phase Noise in CMOS Oscillators	https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=494195	
ieee:9081906	l09_osc.md	636	CMOS oscillators	An Ultra-Low-Noise Swing-Boosted Differential Relaxation Oscillator in 0.18-um CMOS	https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9081906	
ieee:9063021	l10_lpradio.md	819	LNTA	30.5 A 0.5V BLE Transceiver with a 1.9mW RX Achieving -96.4dBm Sensitivity and 4.1dB Adjacent Channel Rejection at 1MHz Offset in 22nm FDSOI	https://ieeexplore.ieee.org/document/9063021	
ieee:9063021	l10_lpradio.md	1065	Want to learn more?	A 0.5V BLE Transceiver with a 1.9mW RX Achieving -96.4dBm Sensitivity and 4.1dB Adjacent Channel Rejection at 1MHz Offset in 22nm FDSOI	https://ieeexplore.ieee.org/document/9063021	
ieee:9063021	lp_radio_guest.md	447	LNTA	30.5 A 0.5V BLE Transceiver with a 1.9mW RX Achieving -96.4dBm Sensitivity and 4.1dB Adjacent Channel Rejection at 1MHz Offset in 22nm FDSOI	https://ieeexplore.ieee.org/document/9063021	
ieee:9063021	lp_radio_guest.md	615	Want to learn more?	A 0.5V BLE Transceiver with a 1.9mW RX Achieving -96.4dBm Sensitivity and 4.1dB Adjacent Channel Rejection at 1MHz Offset in 22nm FDSOI	https://ieeexplore.ieee.org/document/9063021	
ieee:1333231	l10_lpradio.md	846	MIXER	Complex signal processing is not complex	https://ieeexplore.ieee.org/document/1333231	
ieee:1333231	lp_radio_guest.md	474	MIXER	Complex signal processing is not complex	https://ieeexplore.ieee.org/document/1333231	
ieee:9062973	l10_lpradio.md	854	MIXER	A 370uW 5.5dB-NF BLE/BT5.0/IEEE 802.15.4-Compliant Receiver with >63dB Adjacent Channel Rejection at >2 Channels Offset in 22nm FDSOI	https://ieeexplore.ieee.org/document/9062973/	
ieee:9062973	l10_lpradio.md	1067	Want to learn more?	A 370uW 5.5dB-NF BLE/BT5.0/IEEE 802.15.4-Compliant Receiver with >63dB Adjacent Channel Rejection at >2 Channels Offset in 22nm FDSOI	https://ieeexplore.ieee.org/document/9062973/	
ieee:9062973	lp_radio_guest.md	482	MIXER	A 370uW 5.5dB-NF BLE/BT5.0/IEEE 802.15.4-Compliant Receiver with >63dB Adjacent Channel Rejection at >2 Channels Offset in 22nm FDSOI	https://ieeexplore.ieee.org/document/9062973/	
ieee:9062973	lp_radio_guest.md	617	Want to learn more?	A 370uW 5.5dB-NF BLE/BT5.0/IEEE 802.15.4-Compliant Receiver with >63dB Adjacent Channel Rejection at >2 Channels Offset in 22nm FDSOI	https://ieeexplore.ieee.org/document/9062973/	
https://doi.org/10.1017/9781108626200	l10_lpradio.md	1077	Want to learn more?	Design of CMOS Phase-Locked Loops	https://doi.org/10.1017/9781108626200	
https://doi.org/10.1017/9781108626200	lp_radio_guest.md	627	Want to learn more?	Design of CMOS Phase-Locked Loops	https://doi.org/10.1017/9781108626200	
ieee:8016485	lr0_circuits.md	193	Option 1: Full freedom	Nanoscale MOSFET Modeling: Part 1	https://ieeexplore.ieee.org/document/8016485	
ieee:8110872	lr0_circuits.md	194	Option 1: Full freedom	Nanoscale MOSFET Modeling: Part 2	https://ieeexplore.ieee.org/document/8110872	
ieee:9523464	lr0_circuits.md	468	Amplifiers	Fifty Nifty Variations of Two-Transistor Circuits: A tribute to the versatility of MOSFETs	https://ieeexplore.ieee.org/document/9523464	
ieee:9523464	lr0_circuits.md	479	Amplifiers	Fifty Nifty Variations of Two-Transistor Circuits: A tribute to the versatility of MOSFETs	https://ieeexplore.ieee.org/document/9523464	
ieee:4242465	lr0_circuits.md	567	Why use a source follower?	A 92.5mW 205MS/s 10b Pipeline IF ADC Implemented in 1.2V/3.3V 0.13um CMOS	https://ieeexplore.ieee.org/document/4242465	
ieee:8310273	lx_energysrc.md	74	Lithium Battery	0.6 fJ/conv.step	https://ieeexplore.ieee.org/document/8310273	
ieee:8762143	lx_energysrc.md	82	Lithium Battery	Towards a Green and Self-Powered Internet of Things Using Piezoelectric Energy Harvesting	https://ieeexplore.ieee.org/document/8762143	
ieee:8762143	lx_energysrc.md	735	Want to learn more?	Towards a Green and Self-Powered Internet of Things Using Piezoelectric Energy Harvesting	https://ieeexplore.ieee.org/document/8762143	
ieee:9302641	lx_energysrc.md	297	[Thermoelectric generators](https://en.wikipedia.org/wiki/Thermoelectric_generator)	A 3.5-mV Input Single-Inductor Self-Starting Boost Converter With Loss-Aware MPPT for Efficient Autonomous Body-Heat Energy Harvesting	https://ieeexplore.ieee.org/document/9302641	
ieee:9302641	lx_energysrc.md	737	Want to learn more?	A 3.5-mV Input Single-Inductor Self-Starting Boost Converter With Loss-Aware MPPT for Efficient Autonomous Body-Heat Energy Harvesting	https://ieeexplore.ieee.org/document/9302641	
ieee:9423810	lx_energysrc.md	430	!/usr/bin/env python3	A Reconfigurable Capacitive Power Converter With Capacitance Redistribution for Indoor Light-Powered Batteryless Internet-of-Things Devices	https://ieeexplore.ieee.org/abstract/document/9423810	
ieee:9423810	lx_energysrc.md	739	Want to learn more?	A Reconfigurable Capacitive Power Converter With Capacitance Redistribution for Indoor Light-Powered Batteryless Internet- of-Things Devices	https://ieeexplore.ieee.org/abstract/document/9423810	
ieee:8642406	lx_energysrc.md	483	[Piezoelectric](https://en.wikipedia.org/wiki/Piezoelectricity)	A Fully Integrated Split-Electrode SSHC Rectifier for Piezoelectric Energy Harvesting	https://ieeexplore.ieee.org/document/8642406	
ieee:8642406	lx_energysrc.md	741	Want to learn more?	A Fully Integrated Split-Electrode SSHC Rectifier for Piezoelectric Energy Harvesting	https://ieeexplore.ieee.org/document/8642406	
ieee:9729411	lx_energysrc.md	631	Triboelectric generator	Current progress on power management systems for triboelectric nanogenerators	https://ieeexplore.ieee.org/document/9729411	
ieee:9729411	lx_energysrc.md	743	Want to learn more?	Current progress on power management systems for triboelectric nanogenerators	https://ieeexplore.ieee.org/document/9729411	
ieee:9441315	lx_energysrc.md	643	Triboelectric generator	A Fully Energy-Autonomous Temperature-to-Time Converter Powered by a Triboelectric Energy Harvester for Biomedical Applications	https://ieeexplore.ieee.org/document/9441315	
ieee:9441315	lx_energysrc.md	745	Want to learn more?	A Fully Energy-Autonomous Temperature-to-Time Converter Powered by a Triboelectric Energy Harvester for Biomedical Applications	https://ieeexplore.ieee.org/document/9441315	
